review,rating,date,bank,source,cleaned_review,theme
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,what is this app problem,Other
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play,the app is proactive and a good connections,Other
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play,i cannot send to cbebirr app through this app,Other
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play,good,Other
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,not functional,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,everytime you uninstall the app you have to reach them out physically very oldy if thats one of security layer theyd check for fraud attempt via app source directlysource app store play store  etc implicitly  we are in 2025 physical presence for every app install is traditionaltraditionally very rare,Other
mr      space,4,2025-06-04,Commercial Bank of Ethiopia,Google Play,mr      space,Other
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best,Other
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,bezabih,Other
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best mobile banking app ever,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,it was good app but it have some issues like it doesnt give me the right amount that i have in the bank and have some issues in transferring,Other
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,good,Other
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,very niec,Other
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best app of finance,Other
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,yetemeta,Other
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,engida kebede fetera,Other
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,it is not safety,Other
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,nice bank,Other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,it is like a childish app make it better the worst i have ever seen,Other
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play,its a problem solver application go ahead cbe i love so much,Other
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play,its good but try to make it facilitate for your client,Other
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,best app,Other
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,awesome bank,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,this app has developed in a very good ways but there are some comments i need to make 1 preventing the screenshot likely not good for someone like me coz i need to make screenshot for quicker evidence 2it would be good if you make us to access recent transaction histories for 30 days coz we dont have to go to the banks in person to see old transactions or add colander category so user can easily access old transactions through colanders,Other
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,masha alla,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,recently there is big problem when sending to safaricom telebir and even to cbebirr wallet could anybody who is responsible fix it its very frustrating its been 5 days and my money hasnt been returned it takes it out of my account but doesnt send it to my mpesa update they have just corrected it and sent me back the money but still im afraid now to send again,Other
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,better service,Other
"it,s good app and time manager",5,2025-05-30,Commercial Bank of Ethiopia,Google Play,its good app and time manager,Other
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,malkaamuu jiidhaa namoo,Other
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play,lower system everything,Other
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,nice,Other
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play,keep it up my cbe,Other
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,yes good,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,i was using this app for the last two years with no problems it stopped working about 3 months ago when i tried to transfer funds it gives me error cant do this transaction inactive account,Other
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,i like everything of this app,Other
network,1,2025-05-26,Commercial Bank of Ethiopia,Google Play,network,Other
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,best,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,cbe is the best financial application and and very dimple to use i would like to say thank you so much for the developer of application i really appreciate this app,Other
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,nice,Other
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,good job,Other
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,its awesome,Other
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,thankyou every one,Other
Ronaldo,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,ronaldo,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,this app is absolutely fantastic i love it and i enjoying to it let us support this foundation together ,Other
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,the cbe app has been highly unreliable in recent weeks it frequently fails to work properly on both ethio telecom and safaricom networks whether using wifi or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the app only functions intermittently and the lack of consistency is frustrating i hope the issues are addressed soon and that any nontechnical influences are removed from such essential services,Other
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,mortuary app,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,it is smart app but it has stoped after some period of time on my device with out any reason ,Other
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,amazing app i am used this app for one year,Other
good app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,good app,Other
i love it,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,i love it,Other
It makes life easy!,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,it makes life easy,Other
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,its not fast,Other
wow,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,wow,Other
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,it is sooo good,Other
excellent,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,excellent,Other
ok,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,ok,Other
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,fantastic,Other
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,accessible to using,Other
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,i like it,Other
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,why you change default network,Other
very nice,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,very nice,Other
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,nice fast app,Other
how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,how to i get my money,Other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,very bad cant even load they need to improve their services,Other
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,very good app but please make it reliable  it crashes sometimes ,Other
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,very busy i dont know why i prefer 889,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,sometimes it has a nasty lag for several hour fix that  the rest is,Other
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,the most boring mobil banking application in ethiopiaplease use alternative private banks mobile banking apps,Other
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,hojii bonsaadha,Other
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,userfriendly appsbecause this app is easy,Other
